10,Tim Masthay,GB,P,7,272,244,44,38.9,34.9,0,1,0,0,0,1,5,28,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2014&seasonType=POST&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2014,POST,PUNTING,1
11,Sam Koch,BAL,P,5,250,205,53,50.0,34.2,1,2,0,0,0,0,3,45,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2014&seasonType=POST&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2014,POST,PUNTING,1
12,Brad Wing,PIT,P,3,115,115,48,38.3,38.3,0,0,1,2,0,2,0,0,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2014&seasonType=POST&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2014,POST,PUNTING,1
1,Steve Weatherford,NYG,P,32,1506,1366,60,47.1,41.4,1,3,0,11,1,9,19,120,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2014&seasonType=PRE&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2014,PRE,PUNTING,1
2,Matt Bosher,ATL,P,25,1200,930,66,48.0,37.2,0,3,1,5,2,3,16,230,1,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2014&seasonType=PRE&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2014,PRE,PUNTING,1
3,Pat McAfee,IND,P,24,1176,1031,61,49.0,43.0,0,5,0,11,2,5,12,105,1,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2014&seasonType=PRE&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2014,PRE,PUNTING,1
4,Michael Koenen,TB,P,25,1145,1095,63,45.8,43.8,0,0,6,9,1,8,10,30,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2014&seasonType=PRE&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2014,PRE,PUNTING,1
5,Brad Wing,PIT,P,26,1046,965,54,40.2,37.1,0,2,4,7,1,8,11,61,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2014&seasonType=PRE&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2014,PRE,PUNTING,1
6,Brandon Fields,MIA,P,22,1030,901,60,46.8,41.0,0,1,3,7,1,2,15,109,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2014&seasonType=PRE&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2014,PRE,PUNTING,1
7,Kevin Huber,CIN,P,22,1002,825,55,45.5,35.9,1,1,4,7,2,2,13,137,1,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2014&seasonType=PRE&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2014,PRE,PUNTING,1
