,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=KICK_RETURNS&conference=null&d-447263-p=1,2015,REG,KICK_RETURNS,4
27,Devin Hester,ATL,WR,9,235,26.1,35,0,8,0,0,0,8,34,4.3,11,0,0,0,4,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=KICK_RETURNS&conference=null&d-447263-p=1,2015,REG,KICK_RETURNS,4
27,Marc Mariani,CHI,WR,16,418,26.1,47,0,13,1,0,0,29,192,6.6,20,0,1,0,22,3,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=KICK_RETURNS&conference=null&d-447263-p=1,2015,REG,KICK_RETURNS,4
29,Jared Abbrederis,GB,WR,2,52,26.0,30,0,2,0,0,0,0,0,--,--,0,0,0,1,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=KICK_RETURNS&conference=null&d-447263-p=1,2015,REG,KICK_RETURNS,4
29,Duke Johnson,CLE,RB,2,52,26.0,30,0,2,0,0,0,--,--,--,--,--,--,--,--,--,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=KICK_RETURNS&conference=null&d-447263-p=1,2015,REG,KICK_RETURNS,4
29,Rod Smith,DAL,RB,1,26,26.0,26,0,1,0,0,0,--,--,--,--,--,--,--,--,--,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=KICK_RETURNS&conference=null&d-447263-p=1,2015,REG,KICK_RETURNS,4
29,Golden Tate,DET,WR,1,26,26.0,26,0,1,0,0,0,20,149,7.5,23,0,2,0,14,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=KICK_RETURNS&conference=null&d-447263-p=1,2015,REG,KICK_RETURNS,4
33,Tyler Lockett,SEA,WR,33,852,25.8,105T,1,23,3,0,0,40,379,9.5,66,1,5,3,21,2,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=KICK_RETURNS&conference=null&d-447263-p=1,2015,REG,KICK_RETURNS,4
33,Raheem Mostert,CLE,RB,12,309,25.8,53,0,10,1,0,1,--,--,--,--,--,--,--,--,--,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=KICK_RETURNS&conference=null&d-447263-p=1,2015,REG,KICK_RETURNS,4
35,Keshawn Martin,NE,WR,10,257,25.7,75,0,6,1,0,0,8,92,11.5,21,0,1,0,3,1,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=KICK_RETURNS&conference=null&d-447263-p=1,2015,REG,KICK_RETURNS,4
35,Marlon Moore,CLE,WR,3,77,25.7,29,0,3,0,0,0,--,--,--,--,--,--,--,--,--,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=KICK_RETURNS&conference=null&d-447263-p=1,2015,REG,KICK_RETURNS,4
