,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=FIELD_GOALS&conference=null&d-447263-p=1,2015,REG,FIELD_GOALS,1
26,Nick Novak,HOU,K,18,21,86,0,51,0-0,0,6-6,100,6-6,100,4-4,100,5-2,40,29,31,94,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=FIELD_GOALS&conference=null&d-447263-p=1,2015,REG,FIELD_GOALS,1
26,Caleb Sturgis,PHI,K,18,22,82,0,53,0-0,0,4-4,100,10-8,80,4-4,100,4-2,50,35,37,95,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=FIELD_GOALS&conference=null&d-447263-p=1,2015,REG,FIELD_GOALS,1
28,Matt Bryant,ATL,K,14,18,78,0,47,1-1,100,4-4,100,4-3,75,9-6,67,0-0,0,26,26,100,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=FIELD_GOALS&conference=null&d-447263-p=1,2015,REG,FIELD_GOALS,1
28,Randy Bullock,NYJ,K,14,17,82,0,49,0-0,0,4-4,100,4-4,100,8-6,75,1-0,0,19,20,95,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=FIELD_GOALS&conference=null&d-447263-p=1,2015,REG,FIELD_GOALS,1
28,Ryan Succop,TEN,K,14,16,88,0,51,0-0,0,3-3,100,3-3,100,7-7,100,3-1,33,29,31,94,1,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=FIELD_GOALS&conference=null&d-447263-p=1,2015,REG,FIELD_GOALS,1
31,Nick Folk,NYJ,K,13,16,81,0,55,0-0,0,2-2,100,6-6,100,6-3,50,2-2,100,19,19,100,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=FIELD_GOALS&conference=null&d-447263-p=1,2015,REG,FIELD_GOALS,1
31,Andrew Franks,MIA,K,13,16,81,0,53,1-1,100,3-3,100,4-4,100,6-4,67,2-1,50,33,36,92,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=FIELD_GOALS&conference=null&d-447263-p=1,2015,REG,FIELD_GOALS,1
33,Shayne Graham,ATL,K,11,13,85,1,54,0-0,0,2-2,100,4-4,100,4-2,50,3-3,100,8,8,100,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=FIELD_GOALS&conference=null&d-447263-p=1,2015,REG,FIELD_GOALS,1
34,Kai Forbath,NO,K,9,13,69,2,57,0-0,0,3-2,67,4-3,75,3-2,67,3-2,67,33,34,97,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=FIELD_GOALS&conference=null&d-447263-p=1,2015,REG,FIELD_GOALS,1
35,Kyle Brindza,TB,K,6,12,50,0,58,0-0,0,2-1,50,3-2,67,3-1,33,4-2,50,6,8,75,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=FIELD_GOALS&conference=null&d-447263-p=1,2015,REG,FIELD_GOALS,1
