45,Tress Way,WAS,P,2,120,0,60.0,0,0.0,2,18.0,0,0,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=KICKING&conference=null&d-447263-p=1,2015,REG,KICKING,2
46,Tim Masthay,GB,P,1,56,0,56.0,0,0.0,1,13.0,0,0,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=KICKING&conference=null&d-447263-p=1,2015,REG,KICKING,2
46,Mike Scifres,SD,P,1,56,0,56.0,0,0.0,1,15.0,0,0,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=KICKING&conference=null&d-447263-p=1,2015,REG,KICKING,2
48,Matt Prater,DET,K,4,223,0,55.8,0,0.0,3,17.3,0,0,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=KICKING&conference=null&d-447263-p=1,2015,REG,KICKING,2
49,Dan Carpenter,BUF,K,4,213,0,53.3,0,0.0,4,21.0,0,0,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=KICKING&conference=null&d-447263-p=1,2015,REG,KICKING,2
50,Brad Nortman,CAR,P,1,51,0,51.0,0,0.0,1,13.0,0,0,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=KICKING&conference=null&d-447263-p=1,2015,REG,KICKING,2
51,Phil Dawson,SF,K,6,268,0,44.7,0,0.0,4,28.8,0,2,1,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=KICKING&conference=null&d-447263-p=2,2015,REG,KICKING,2
52,Jeff Locke,MIN,P,1,44,0,44.0,0,0.0,1,6.0,0,0,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=KICKING&conference=null&d-447263-p=2,2015,REG,KICKING,2
53,Matt Darr,MIA,P,6,258,0,43.0,0,0.0,4,12.5,0,2,1,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=KICKING&conference=null&d-447263-p=2,2015,REG,KICKING,2
54,Nate Ebner,NE,DB,2,35,1,17.5,0,0.0,1,0.0,0,1,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=KICKING&conference=null&d-447263-p=2,2015,REG,KICKING,2
1,Nick Novak,HOU,K,1,71,0,71.0,0,0.0,1,106.0,1,0,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=POST&d-447263-n=2&d-447263-o=2&statisticCategory=KICKING&conference=null&d-447263-p=1,2015,POST,KICKING,1
2,Chandler Catanzaro,ARI,K,8,525,0,65.6,4,50.0,4,24.0,0,0,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=POST&d-447263-n=2&d-447263-o=2&statisticCategory=KICKING&conference=null&d-447263-p=1,2015,POST,KICKING,1
3,Dustin Hopkins,WAS,K,4,262,0,65.5,3,75.0,1,22.0,0,0,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=POST&d-447263-n=2&d-447263-o=2&statisticCategory=KICKING&conference=null&d-447263-p=1,2015,POST,KICKING,1
