week	team1	team2	home	what row do we find team1 in team2	what is team 2 in the previous row	does team1 in first row = team2 in dup row?	row number
10	JAC	LAC	TRUE	14	JAC	TRUE	304
10	KC	BYE	TRUE	22	KC	TRUE	305
10	LAC	JAC	FALSE	11	LAC	TRUE	306
10	LAR	HOU	TRUE	15	LAR	TRUE	307
10	MIA	CAR	FALSE	31	MIA	TRUE	308
10	MIN	WAS	FALSE	23	MIN	TRUE	309
10	NE	DEN	FALSE	17	NE	TRUE	310
10	NO	BUF	FALSE	21	NO	TRUE	311
10	NYG	SF	FALSE	10	NYG	TRUE	312
10	NYJ	TB	FALSE	5	NYJ	TRUE	313
10	OAK	BYE	TRUE	32	OAK	TRUE	314
10	PHI	BYE	TRUE	33	PHI	TRUE	315
10	PIT	IND	FALSE	9	PIT	TRUE	316
10	SEA	ARI	FALSE	13	SEA	TRUE	317
10	SF	NYG	TRUE	6	SF	TRUE	318
10	TB	NYJ	TRUE	20	TB	TRUE	319
10	TEN	CIN	TRUE	26	TEN	TRUE	320
10	WAS	MIN	TRUE	27	WAS	TRUE	321
11	ARI	HOU	FALSE	12	ARI	TRUE	322
11	ATL	SEA	FALSE	7	ATL	TRUE	323
11	BAL	GB	FALSE	8	BAL	TRUE	324
11	BUF	LAC	FALSE	25	BUF	TRUE	325
11	CAR	BYE	TRUE	30	CAR	TRUE	326
11	CHI	DET	TRUE	3	CHI	TRUE	327
11	CIN	DEN	FALSE	4	CIN	TRUE	328
11	CLE	JAC	TRUE	28	CLE	TRUE	329
11	DAL	PHI	TRUE	24	DAL	TRUE	330
11	DEN	CIN	TRUE	18	DEN	TRUE	331
11	DET	CHI	FALSE	2	DET	TRUE	332
11	GB	BAL	TRUE	29	GB	TRUE	333
11	HOU	ARI	TRUE	16	HOU	TRUE	334
11	IND	BYE	TRUE	19	IND	TRUE	335
11	JAC	CLE	FALSE	14	JAC	TRUE	336
11	KC	NYG	FALSE	22	KC	TRUE	337
11	LAC	BUF	TRUE	11	LAC	TRUE	338
11	LAR	MIN	FALSE	15	LAR	TRUE	339
11	MIA	BYE	TRUE	31	MIA	TRUE	340
11	MIN	LAR	TRUE	23	MIN	TRUE	341
11	NE	OAK	FALSE	17	NE	TRUE	342
11	NO	WAS	TRUE	21	NO	TRUE	343
11	NYG	KC	TRUE	10	NYG	TRUE	344
11	NYJ	BYE	TRUE	5	NYJ	TRUE	345
11	OAK	NE	TRUE	32	OAK	TRUE	346
11	PHI	DAL	FALSE	33	PHI	TRUE	347
11	PIT	TEN	TRUE	9	PIT	TRUE	348
11	SEA	ATL	TRUE	13	SEA	TRUE	349
11	SF	BYE	TRUE	6	SF	TRUE	350
11	TB	BYE	TRUE	20	TB	TRUE	351
11	TEN	PIT	FALSE	26	TEN	TRUE	352
11	WAS	NO	FALSE	27	WAS	TRUE	353
12	ARI	JAC	TRUE	12	ARI	TRUE	354
